Frame,X1,Y1,,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38
Tracks 1 to 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,84.13441,217.3172,2,474.21832,193.97183,-1, , ,-1, , ,-1,607.2436,316.81625,-1,106.85667,344.34332,-1, , ,-1,530.8204,606.82526,-1,282.74,623.356,-1,574.64703,590.902,-1,255.1439,538.37805,-1, , , ,151.21428,213.40475, ,538.9167,288.85834, ,465.8153,199.36487,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
37,86.754715,216.9151,2,472.83575,190.58029,-1, , ,-1, , ,-1,603.92737,310.32907,-1,103.82641,342.85312,-1, , ,-1,531.23334,611.2611,-1,275.7735,631.79913,-1,569.21875,595.375,-1,262.0051,541.35205,-1, , , ,144.07895,218.11185,*,523.78705,289.02777, ,466.2033,207.86264,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
38,88.94898,217.7551,2,472.5148,188.58888,-1, , ,-1, , ,-1,597.1124,306.56976,-1,103.75526,344.3138,-1, , ,-1,532.8946,614.6838,-1,272.92203,635.289,-1,567.50934,596.45325,-1,263.11353,542.2633,-1, , , ,138.76666,221.04814,*,517.64923,290.11194,*,466.66922,212.5923,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
39,88.94898,217.7551,2,472.5148,188.58888,-1, , ,-1, , ,-1,597.1124,306.56976,-1,103.75526,344.3138,-1, , ,-1,532.8946,614.6838,-1,272.92203,635.289,-1,567.50934,596.45325,-1,263.03845,542.2452,-1, , , ,138.76666,221.04814,*,517.64923,290.11194,*,466.66922,212.5923,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40,90.73404,218.56383,2,472.58228,188.14557,-1, , ,-1, , ,-1,591.06836,303.6439,-1,107.24719,339.35394,-1, , ,-1,534.47394,617.40106,-1,268.3407,639.52655,-1,565.2019,598.2981,-1,265.2192,543.5985,-1, , , ,132.3,222.87392,*,510.62878,291.60605,*,473.3393,215.75,*,104.6931,356.17587,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41,93.38172,219.4785,2,480.5633,181.60127,-1, , ,-1, , ,-1,580.6367,298.4928,-1,101.92308,334.98462,-1, , ,-1,539.4081,623.9595,-1,261.8109,646.9538,-1,560.3909,601.14545,-1,270.04147,548.1488,-1, , , ,120.531006,222.03488,*,497.86957,295.4203,*,484.60205,216.96939,*,114.64445,359.07224,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42,93.38172,219.4785,2,480.5633,181.60127,-1, , ,-1, , ,-1,580.6367,298.4928,-1,101.92308,334.98462,-1, , ,-1,539.4081,623.9595,-1,261.8109,646.9538,-1,560.3909,601.14545,-1,270.04147,548.1488,-1, , , ,120.531006,222.03488,*,497.86957,295.4203,*,484.60205,216.96939,*,114.64445,359.07224,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
43,103.64286,221.18367,2,481.2619,179.59525,-1, , ,-1, , ,-1,572.1338,294.46478,-1,105.05147,326.40442,-1, , ,-1,543.62354,627.4471,-1,254.68898,655.0276,-1,554.7789,604.1442,-1,271.3296,554.80493,-1, , , ,99.84375,250.71875,*,484.732,301.724,*,490.63043,216.89131,*,125.677086,360.42188,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
44,102.376236,220.89604,2,476.63077,180.05385,-1, , ,-1, , ,-1,568.0548,292.9863,-1,110.42547,324.83542,-1, , ,-1,547.72156,627.9551,-1,251.844,659.18,-1,552.43066,605.7277,-1,271.5351,558.614,-1, , , ,99.84375,250.71875,*,477.1216,306.23874,*,491.72034,215.95763,*,130.59045,360.6206,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
45,102.376236,220.89604,2,476.63077,180.05385,-1, , ,-1, , ,-1,568.0548,292.9863,-1,110.42547,324.83542,-1, , ,-1,547.72156,627.9551,-1,251.844,659.18,-1,552.43066,605.7277,-1,271.5351,558.614,-1, , , ,100.25862,250.74138,*,477.1216,306.23874,*,491.72034,215.95763,*,130.59045,360.6206,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
